Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2019-10-06 13:27:12,false,"Bethlehem Running","9.54","704","01:07:09","147","169","3.5","168","178","7:02","6:26","120","123","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:41.30","10","0.0","01:07:06","01:15:26","203","255"
Running,2019-10-05 10:31:26,false,"Bethlehem Running","5.11","501","00:38:12","170","188","4.5","168","180","7:29","5:12","119","114","1.28","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:02.49","6","0.0","00:37:59","00:55:13","279","330"
Running,2019-10-05 09:30:38,false,"Bethlehem Running","4.97","347","00:25:54","173","193","4.0","178","201","5:13","3:57","131","128","1.73","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:54.96","5","0.0","00:25:52","00:25:54","280","338"
Running,2019-10-05 08:43:57,false,"Bethlehem Running","2.34","207","00:16:31","163","178","3.0","168","176","7:03","6:30","64","96","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:21.29","3","0.0","00:16:29","00:19:39","268","325"
Running,2019-10-05 06:38:20,false,"Bethlehem Running","1.31","155","00:10:40","178","188","3.1","168","174","8:07","6:27","29","57","1.18","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:25.98","2","0.0","00:10:38","00:10:40","233","296"
Running,2019-10-04 15:44:32,false,"Bethlehem Running","1.44","126","00:10:50","154","162","2.3","164","192","7:31","3:54","41","13","1.30","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:14.44","10","0.0","00:09:40.4","00:13:42","287","325"
Running,2019-10-04 15:00:41,false,"Bethlehem Running","3.62","259","00:24:31","141","168","2.6","164","172","6:46","6:03","97","130","1.43","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:23.49","4","0.0","00:24:24","00:28:07","279","338"
Running,2019-10-03 06:28:37,false,"Cambridge Running","6.03","563","00:43:46","162","184","4.2","164","178","7:15","6:14","7","10","1.35","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:12.42","7","0.0","00:43:35","00:46:50","6","13"
Running,2019-10-02 17:46:29,false,"Needham Running","8.09","709","00:58:12","155","181","4.1","165","172","7:12","6:22","204","194","1.36","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:33.91","9","0.0","00:58:00","01:01:17","80","172"
Running,2019-10-02 07:08:03,false,"Cambridge Running","4.01","349","00:29:22","149","169","3.2","166","180","7:19","6:53","41","45","1.33","0.0","0.0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:04.18","5","0.0","00:29:21","00:29:34","10","56"
