RANK,RIDER,RIDER NO.,TEAM,TIMES,GAP,B,P
126, HUGO PAGE,135,INTERMARCHÉ - CIRCUS - WANTY,72H 59' 41'',+ 03H 46' 05'',-,-
127, ROMAIN COMBAUD,162,TEAM DSM-FIRMENICH,72H 59' 54'',+ 03H 46' 18'',-,-
128, SAMUELE BATTISTELLA,191,ASTANA QAZAQSTAN TEAM,73H 00' 30'',+ 03H 46' 54'',-,-
129, JASON OSBORNE,87,ALPECIN-DECEUNINCK,73H 02' 30'',+ 03H 48' 54'',-,-
130, DOMEN NOVAK,16,UAE TEAM EMIRATES,73H 04' 03'',+ 03H 50' 27'',-,-
131, SAMUEL WATSON,68,GROUPAMA - FDJ,73H 04' 36'',+ 03H 51' 00'',-,-
132, MATEVŽ GOVEKAR,43,BAHRAIN VICTORIOUS,73H 05' 56'',+ 03H 52' 20'',-,-
133, JOSE HERRADA,157,COFIDIS,73H 06' 21'',+ 03H 52' 45'',-,-
134, EDWARD PLANCKAERT,88,ALPECIN-DECEUNINCK,73H 07' 44'',+ 03H 54' 08'',B : 2'',-
135, ANTONIO ERIC FAGUNDEZ LIMA,205,BURGOS-BH,73H 07' 58'',+ 03H 54' 22'',-,-
136, KAMIL GRADEK,44,BAHRAIN VICTORIOUS,73H 08' 21'',+ 03H 54' 45'',-,-
137, ANDRÉ CARVALHO,154,COFIDIS,73H 10' 45'',+ 03H 57' 09'',-,-
138, KIM ALEXANDER HEIDUK,38,INEOS GRENADIERS,73H 10' 48'',+ 03H 57' 12'',-,-
139, TOBIAS BAYER,83,ALPECIN-DECEUNINCK,73H 11' 35'',+ 03H 57' 59'',-,-
140, CLÉMENT DAVY,64,GROUPAMA - FDJ,73H 12' 12'',+ 03H 58' 36'',B : 6'',-
141, PHILLIP CASPER PEDERSEN,6,SOUDAL QUICK-STEP,73H 15' 47'',+ 04H 02' 11'',B : 4'',-
142, MILAN MENTEN,95,LOTTO DSTNY,73H 18' 08'',+ 04H 04' 32'',-,-
143, JARRAD DRIZNERS,92,LOTTO DSTNY,73H 22' 32'',+ 04H 08' 56'',-,-
144, MAURICE BALLERSTEDT,82,ALPECIN-DECEUNINCK,73H 23' 10'',+ 04H 09' 34'',-,-
145, JUAN SEBASTIAN MOLANO,15,UAE TEAM EMIRATES,73H 24' 49'',+ 04H 11' 13'',B : 16'',-
146, ALBERTO DAINESE,163,TEAM DSM-FIRMENICH,73H 26' 19'',+ 04H 12' 43'',B : 10'',-
147, DAVIDE CIMOLAI,152,COFIDIS,73H 27' 50'',+ 04H 14' 14'',-,-
148, RUI OLIVEIRA,13,UAE TEAM EMIRATES,73H 30' 29'',+ 04H 16' 53'',-,-
